close,date,high,low,marketcap,open,volume
1.60,"Aug 05, 2018",1.63,1.53,"213,699,609",1.58,"3,550,240"
1.57,"Aug 04, 2018",1.72,1.47,"209,583,569",1.59,"4,765,580"
1.59,"Aug 03, 2018",1.66,1.41,"211,974,043",1.66,"7,004,370"
1.67,"Aug 02, 2018",1.79,1.50,"222,142,220",1.65,"6,475,960"
1.65,"Aug 01, 2018",1.79,1.62,"219,530,554",1.76,"5,167,700"
1.77,"Jul 31, 2018",2.09,1.76,"235,512,354",2.08,"6,141,510"
2.10,"Jul 30, 2018",2.19,2.01,"279,221,790",2.19,"5,025,110"
2.19,"Jul 29, 2018",2.23,2.14,"291,226,128",2.21,"4,589,150"
2.21,"Jul 28, 2018",2.26,2.18,"294,101,626",2.25,"4,697,370"
2.24,"Jul 27, 2018",2.29,2.13,"298,790,634",2.22,"5,761,270"
2.22,"Jul 26, 2018",2.47,2.19,"296,289,563",2.42,"5,386,540"
2.43,"Jul 25, 2018",2.48,2.27,"323,129,766",2.27,"5,695,510"
2.31,"Jul 24, 2018",2.38,2.14,"307,541,049",2.26,"6,392,130"
2.25,"Jul 23, 2018",2.45,2.23,"300,200,401",2.34,"5,253,020"
2.33,"Jul 22, 2018",2.44,2.31,"310,741,673",2.41,"4,368,830"
2.42,"Jul 21, 2018",2.51,2.25,"322,424,883",2.30,"5,532,660"
2.31,"Jul 20, 2018",2.65,2.27,"307,942,126",2.63,"9,277,250"
2.63,"Jul 19, 2018",2.87,2.63,"350,283,103",2.80,"6,153,770"
2.79,"Jul 18, 2018",3.12,2.74,"371,844,008",2.99,"8,128,170"
2.97,"Jul 17, 2018",3.03,2.59,"395,928,637",2.63,"7,649,870"
2.64,"Jul 16, 2018",2.64,2.37,"351,598,263",2.37,"5,101,520"
2.37,"Jul 15, 2018",2.42,2.29,"315,186,836",2.30,"3,611,210"
2.30,"Jul 14, 2018",2.36,2.26,"307,046,698",2.34,"3,760,110"
2.35,"Jul 13, 2018",2.40,2.30,"313,326,690",2.32,"4,346,700"
2.32,"Jul 12, 2018",2.43,2.24,"309,032,097",2.43,"4,604,760"
2.41,"Jul 11, 2018",2.42,2.28,"320,717,972",2.34,"3,931,260"
2.33,"Jul 10, 2018",2.58,2.29,"310,600,430",2.56,"5,069,740"
2.56,"Jul 09, 2018",2.72,2.56,"341,744,552",2.71,"5,716,290"
2.71,"Jul 08, 2018",2.77,2.70,"361,561,238",2.74,"5,194,570"
2.76,"Jul 07, 2018",2.76,2.55,"367,258,935",2.65,"4,769,010"
2.66,"Jul 06, 2018",2.67,2.51,"354,124,651",2.64,"4,824,580"
2.65,"Jul 05, 2018",2.85,2.57,"352,500,354",2.70,"6,277,260"
2.69,"Jul 04, 2018",2.80,2.51,"358,784,343",2.55,"4,864,250"
2.55,"Jul 03, 2018",2.84,2.55,"340,057,629",2.71,"8,047,580"
2.72,"Jul 02, 2018",2.75,2.42,"361,881,034",2.48,"7,652,190"
2.45,"Jul 01, 2018",2.51,2.34,"326,868,713",2.44,"5,506,590"
2.44,"Jun 30, 2018",2.48,2.31,"324,704,761",2.31,"6,139,740"
2.29,"Jun 29, 2018",2.35,2.08,"305,704,887",2.14,"4,745,150"
2.13,"Jun 28, 2018",2.26,2.10,"284,351,849",2.23,"5,254,680"
2.23,"Jun 27, 2018",2.25,2.13,"296,819,892",2.19,"6,251,960"
2.20,"Jun 26, 2018",2.40,2.20,"293,043,635",2.39,"3,947,220"
2.40,"Jun 25, 2018",2.42,2.26,"319,232,254",2.33,"5,939,120"
2.34,"Jun 24, 2018",2.54,2.08,"311,375,935",2.52,"8,399,310"
2.53,"Jun 23, 2018",2.64,2.46,"336,639,810",2.57,"6,182,440"
2.57,"Jun 22, 2018",2.96,2.46,"341,905,783",2.92,"8,838,080"
2.91,"Jun 21, 2018",3.19,2.82,"387,230,188",2.82,"17,214,200"
2.83,"Jun 20, 2018",2.86,2.66,"377,332,505",2.78,"6,861,110"
2.78,"Jun 19, 2018",2.87,2.74,"370,314,318",2.76,"5,539,210"
2.76,"Jun 18, 2018",2.81,2.56,"367,850,557",2.68,"6,779,120"
2.69,"Jun 17, 2018",2.77,2.68,"358,503,190",2.70,"5,988,300"
2.69,"Jun 16, 2018",2.73,2.57,"358,393,926",2.63,"5,614,910"
2.64,"Jun 15, 2018",2.96,2.62,"351,958,034",2.96,"8,273,820"
2.96,"Jun 14, 2018",3.02,2.56,"395,061,190",2.56,"17,545,000"
2.56,"Jun 13, 2018",2.76,2.46,"341,519,363",2.75,"13,458,400"
2.77,"Jun 12, 2018",3.23,2.70,"368,712,674",3.23,"11,587,100"
3.23,"Jun 11, 2018",3.25,3.02,"430,573,192",3.16,"8,807,050"
3.16,"Jun 10, 2018",3.79,3.08,"420,908,693",3.79,"11,402,600"
3.80,"Jun 09, 2018",3.97,3.80,"505,715,900",3.92,"7,488,250"
3.92,"Jun 08, 2018",4.09,3.82,"522,956,896",4.09,"11,503,800"
4.09,"Jun 07, 2018",4.18,3.96,"544,741,658",3.96,"16,288,100"
3.97,"Jun 06, 2018",3.99,3.73,"528,496,027",3.99,"15,910,900"
3.99,"Jun 05, 2018",4.01,3.72,"532,181,675",3.92,"15,529,900"
3.91,"Jun 04, 2018",4.28,3.84,"521,167,371",4.24,"9,615,350"
4.25,"Jun 03, 2018",4.37,4.15,"566,197,298",4.22,"10,283,500"
4.22,"Jun 02, 2018",4.32,4.04,"562,299,786",4.08,"9,956,100"
4.08,"Jun 01, 2018",4.25,3.93,"543,718,312",4.21,"10,555,100"
4.20,"May 31, 2018",4.34,3.96,"559,116,484",4.04,"10,246,500"
4.06,"May 30, 2018",4.28,3.82,"540,359,122",4.13,"9,337,210"
4.13,"May 29, 2018",4.27,3.51,"550,446,018",3.55,"12,113,800"
3.55,"May 28, 2018",4.07,3.53,"472,598,370",4.05,"9,196,120"
4.04,"May 27, 2018",4.22,3.97,"538,722,833",4.22,"5,867,250"
4.22,"May 26, 2018",4.48,4.20,"562,183,860",4.35,"2,690,680"
4.34,"May 25, 2018",4.60,4.27,"577,991,104",4.56,"5,173,310"
4.56,"May 24, 2018",4.72,4.19,"608,213,149",4.34,"8,192,180"
4.34,"May 23, 2018",5.08,4.24,"578,621,368",4.87,"12,566,700"
4.87,"May 22, 2018",5.43,4.73,"649,205,652",5.39,"12,616,300"
5.38,"May 21, 2018",5.80,5.22,"717,300,858",5.74,"12,723,000"
5.71,"May 20, 2018",5.82,5.45,"761,291,448",5.53,"9,096,920"
5.53,"May 19, 2018",5.69,5.45,"736,400,668",5.58,"6,332,790"
